date,min_dryness,max_dryness,min_heaviness,max_heaviness,shampoo_used_today,conditioner_used_today,leave_in_amt,sweat,humidity,bath_intensity,wind_exposure
2025-07-13,5,10,2,6,yes,yes,0,4,82,10,7
2025-07-14,3,4,4,5,no,yes,3,1,72,8,5
2025-07-15,4,5,4,6,no,no,2.5,3,78,7,6
2025-07-16,3,4.5,4,5,no,no,0,3.5,76,7,6.5
2025-07-17,2,6,3,7,no,no,0,4,87,7.5,1
2025-07-18,2,7,2,7,yes,yes,0.5,6,85,8,1
2025-07-19,1,4,2,4.5,no,no,5,0,84,3,1.5
2025-07-20,2,4,3.5,4,no,no,0,1,82,4,0.5
2025-07-21,3,7,4,6,no,no,0,1.5,80,5,8
2025-07-22,4,5.5,3,5,yes,yes,0,4,80,9,0.5
2025-07-23,1,6,3,5,no,yes,5,3,85,10,10
2025-07-24,1,5,3,5,no,no,0,3,84,6.5,0
