date,min_dryness,max_dryness,min_heaviness,max_heaviness,shampoo_used_today,conditioner_used_today,leave_in_amt,sweat,humidity,bath_intensity,wind_exposure
2025-07-13,5,10,2,6,yes,yes,0,4,82,10,7
2025-07-14,3,4,4,5,no,yes,3,1,72,8,5
2025-07-15,4,5,4,6,no,no,2.5,3,78,7,6
2025-07-16,3,4.5,4,5,no,no,0,3.5,76,7,6.5
2025-07-17,2,6,3,7,no,no,0,4,87,7.5,1
2025-07-18,2,7,2,7,yes,yes,0.5,6,85,8,1
2025-07-19,1,4,2,4.5,no,no,5,0,84,3,1.5
2025-07-20,2,4,3.5,4,no,no,0,1,82,4,0.5
2025-07-21,3,7,4,6,no,no,0,1.5,80,5,8
2025-07-22,4,5.5,3,5,yes,yes,0,4,80,9,0.5
2025-07-23,1,6,3,5,no,yes,5,3,85,10,10
2025-07-24,1,5,3,5,no,no,0,3,84,4,0
2025-07-25,2,6,3,5.5,no,no,0,3,83,6.5,1.5
2025-07-26,3,6,3,4,yes,yes,4,1,74,10,3
2025-07-27,3,6,3,4,no,no,0,2,73,7,0.5
2025-07-28,3,6.5,4,5,no,no,0,0.5,70,6,0.5
2025-07-29,2,6.5,4,6,yes,no,0,1,73,7,3
2025-07-30,2.5,4,5,6,no,no,0,2,72,7,3
2025-07-31,3,6,2,6,yes,yes,0,1,70,8,0
2025-08-01,1,4,2,3,no,yes,4,2,70,7,3.5
2025-08-02,1.5,3.5,3,3.5,no,yes,4,0.5,66,7.5,2.5
2025-08-03,4,7,4,6,no,no,0,0.5,65,7,8.8
2025-08-04,5,1.5,1.5,3.8,yes,yes,3,4,67,7,3.5
2025-08-05,2,4.5,3,5,no,no,0,1,72,6,4
2025-08-06,2,4,3,3.5,no,no,0,0,78,6,3
2025-08-07,3,5,4,5,no,no,0,0.5,71,6,3
2025-08-08,4,7,2,3,yes,yes,0,0.5,74,8,4.5
2025-08-09,3,5,2,3.5,no,no,0,0,72,6,2
2025-08-10,4,6,3,4,no,no,0,2,66,0,3.2
2025-08-11,4.5,7,2,6,yes,yes,3.5,2,65,10,3
2025-08-12,2.5,4,3,4,no,no,4,0.5,68,6,3
2025-08-13,3,4.5,2.5,3.5,no,no,1,1,72,7,4
2025-08-14,4,4.5,3,4,no,no,0,1,77,0,0.5
2025-08-15,3.5,4,4,5,no,no,0,1,75,6,5
2025-08-16,4,5,4,6,no,no,0,0,76,6,3.5
2025-08-17,2,3.5,2,3,yes,yes,5,0.3,67,10,5
2025-08-18,2.4,3.3,2.8,4,no,no,4,1,63,6,2
2025-08-19,3,5,4,5,no,no,3.5,1.5,64,6,4
2025-08-20,3,4.5,5,5.5,no,no,0,2,70,6,1.2
2025-08-21,2,5,2,6,yes,yes,3.4,1.5,78,9,1
2025-08-22,2,3,2,3,no,no,3.5,1,80,7.4,4
2025-08-23,2,5,4,6,no,no,3,0,71,4,4
2025-08-24,2,3.6,3,5,yes,yes,5,0,71,10,0
2025-08-25,3.3,4.4,3,4,no,no,0,0,78,0,1
2025-08-26,3.5,4.5,3,4,no,no,0,0,80,0,0
2025-08-27,3.5,4.5,3.5,4.5,no,no,0,0,78,0,0
2025-08-28,2,3,3,3.5,yes,yes,5,0,73,10,1
2025-08-29,2.5,4,3,4,no,no,4,1.5,77,4,4
2025-08-30,3,4,4,5,no,no,2,2,72,1,3
2025-08-31,3,4,4,5,no,no,0,1,76,0,2
2025-09-01,2,3,2,3,yes,yes,5,0,82,10,1
2025-09-02,2,2.5,3,3.5,no,no,3,1,79,7,3
2025-09-03,3,4,4,4,no,no,0,0,74,3,3
2025-09-04,3,4,4,4.5,no,no,0,0,76,3,4
2025-09-05,3.5,4.3,4,4.5,no,no,0,0,78,0,3
2025-09-06,1,4.5,4,5,no,no,3.5,0,76,7,6.5
2025-09-07,1,3,4,5,no,no,5,2,69,5,1
2025-09-08,1,3,3,4,yes,yes,5,0,75,10,1
2025-09-09,1,3,4,5,no,no,5,0,78,6,3
2025-09-10,2,3,4,5,no,no,2,1.5,81,7,1
2025-09-11,2,4,2.5,3,no,no,4,0,75,6,2
2025-09-12,2.5,5,3,4,no,no,0,0,73,0,0
2025-09-13,1,3,4,5,no,no,5,0,75,6,3
2025-09-14,1,4,4,5,yes,yes,3,1,75,10,1
2025-09-15,1,3.5,2,4,no,no,3.5,0,78,6,3
2025-09-16,2,4,3,4.5,no,no,3,0,81,6.5,7
2025-09-17,3,4.5,3,4.5,no,no,0,0,78,0,0
2025-09-18,1,4.5,4,5,yes,no,4,1,71,9,0
2025-09-19,2,4,2,5,yes,yes,5,0,71,10,4
2025-09-20,3.5,4.5,4,5,no,no,0,0,71,0,1
2025-09-21,2,5,2,5,no,no,0,1,75,6,1
2025-09-22,2.5,3,3.5,5,no,no,0,0,76,0,7
